ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
AC0002,SBCZ,Cruzeiro do Sul,Acre,CRUZEIRO DO SUL,194.0,-7.5994444,-72.769444,"07°35'58""S","072°46'10""W"
RS0027,SSZR,Luis Alberto Lehr,Rio Grande do Sul,SANTA ROSA,309.0,-27.908889,-54.522222,"27°54'32""S","054°31'20""W"
GO0012,SWWA,Porangatu,Goiás,PORANGATU,366.0,-13.404444,-49.157222,"13°24'16""S","049°09'26""W"
CE0008,SDZG,Pedro Teixeira Castelo Regional Tauá,Ceará,TAUÁ,444.0,-5.9333333,-40.2975,"05°56'00""S","040°17'51""W"
BA0001,SBSV,DEPUTADO LUÍS EDUARDO MAGALHÃES,Bahia,SALVADOR,20.0,-12.908611,-38.3225,"12°54'31""S","038°19'21""W"
SC0001,SBFL,Hercílio Luz,Santa Catarina,FLORIANÓPOLIS,5.0,-27.670278,-48.5525,"27°40'13""S","048°33'09""W"
RJ0009,SBMI,Maricá,Rio de Janeiro,MARICÁ,0.0,-22.918056,-42.828889,"22°55'05""S","042°49'44""W"
MG0023,SNGX,Guaxupé,Minas Gerais,GUAXUPÉ,849.0,-21.326667,-46.730278,"21°19'36""S","046°43'49""W"
MG0016,SBJF,Francisco de Assis,Minas Gerais,JUIZ DE FORA,911.0,-21.793056,-43.385556,"21°47'35""S","043°23'08""W"
MG0002,SBUL,Ten Cel Aviador César Bombonato,Minas Gerais,UBERLÂNDIA,943.0,-18.883611,-48.225278,"18°53'01""S","048°13'31""W"
GO0015,SWKT,Catalão,Goiás,CATALÃO,802.0,-18.216944,-47.899444,"18°13'01""S","047°53'58""W"
SP0033,SDIM,Dr. Antonio Ribeiro Nogueira Júnior,São Paulo,ITANHAÉM,3.0,-24.164722,-46.785556,"24°09'53""S","046°47'08""W"
PA0010,SBIH,Itaituba,Pará,ITAITUBA,33.0,-4.2422222,-56.000833,"04°14'32""S","056°00'03""W"
AM0001,SBEG,Eduardo Gomes,Amazonas,MANAUS,80.0,-3.0411111,-60.050556,"03°02'28""S","060°03'02""W"
PR0001,SBCT,Afonso Pena,Paraná,CURITIBA,911.0,-25.531667,-49.176111,"25°31'54""S","049°10'34""W"
PR0002,SBFI,Cataratas,Paraná,FOZ DO IGUAÇU,240.0,-25.600278,-54.485,"25°36'01""S","054°29'06""W"
BA0004,SBIL,Bahia - Jorge Amado,Bahia,ILHÉUS,4.0,-14.815,-39.033333,"14°48'54""S","039°02'00""W"
RO0005,SBJI,Ji-Paraná,Rondônia,JI-PARANÁ,182.0,-10.870556,-61.846667,"10°52'14""S","061°50'48""W"
CE0003,SBJE,Comandante Ariston Pessoa,Ceará,CRUZ,27.0,-2.9066667,-40.358056,"02°54'24""S","040°21'29""W"
MS0006,SBTG,Três Lagoas,Mato Grosso do Sul,TRÊS LAGOAS,323.0,-20.751389,-51.680278,"20°45'05""S","051°40'49""W"
MT0005,SBSO,Regional de Sorriso Adolino Bedin,Mato Grosso,SORRISO,386.0,-12.472778,-55.668889,"12°28'22""S","055°40'08""W"
